FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.538842,POINT (16.358663616522524 48.21143258598651),Auslaufbrunnen,538842,
TRINKBRUNNENOGD.538843,POINT (16.28379729368214 48.22678247072503),Auslaufbrunnen,538843,
TRINKBRUNNENOGD.538844,POINT (16.291445305755865 48.23321012388821),Auslaufbrunnen,538844,
TRINKBRUNNENOGD.538845,POINT (16.29886522783139 48.2309870687344),Auslaufbrunnen,538845,
TRINKBRUNNENOGD.538846,POINT (16.440390529860455 48.227092935218145),Auslaufbrunnen,538846,
TRINKBRUNNENOGD.538847,POINT (16.319408269268195 48.24553204177254),Auslaufbrunnen,538847,
TRINKBRUNNENOGD.538848,POINT (16.323870385525883 48.250807512205),Auslaufbrunnen,538848,
TRINKBRUNNENOGD.538849,POINT (16.393247359166363 48.21806382161391),Auslaufbrunnen,538849,
TRINKBRUNNENOGD.538850,POINT (16.45834469283992 48.17818667595331),Auslaufbrunnen,538850,
TRINKBRUNNENOGD.538851,POINT (16.462656593590655 48.1769437377156),Auslaufbrunnen,538851,
TRINKBRUNNENOGD.538852,POINT (16.255810146311397 48.1596326491518),Auslaufbrunnen,538852,
TRINKBRUNNENOGD.538853,POINT (16.450686683829268 48.194269634013104),Auslaufbrunnen,538853,
TRINKBRUNNENOGD.538854,POINT (16.276847294473068 48.17300611615536),Auslaufbrunnen,538854,
TRINKBRUNNENOGD.538855,POINT (16.486348703851647 48.25132236904022),Auslaufbrunnen,538855,
TRINKBRUNNENOGD.538856,POINT (16.32999196720437 48.178867700502835),Auslaufbrunnen,538856,
TRINKBRUNNENOGD.538857,POINT (16.48526788809506 48.22086716764127),Auslaufbrunnen,538857,
TRINKBRUNNENOGD.538858,POINT (16.381990947895233 48.21352376509425),Auslaufbrunnen,538858,
TRINKBRUNNENOGD.538859,POINT (16.438722559924194 48.19296240959285),Auslaufbrunnen,538859,
TRINKBRUNNENOGD.538860,POINT (16.24792645772263 48.219932313534706),Auslaufbrunnen,538860,
TRINKBRUNNENOGD.538861,POINT (16.461989386034702 48.259976419418535),Auslaufbrunnen,538861,
TRINKBRUNNENOGD.538862,POINT (16.387436683840946 48.21948827173224),Auslaufbrunnen,538862,
TRINKBRUNNENOGD.538863,POINT (16.31217990414031 48.21226379782298),Auslaufbrunnen,538863,
TRINKBRUNNENOGD.538864,POINT (16.494579958865558 48.194251035547985),Auslaufbrunnen,538864,
TRINKBRUNNENOGD.538865,POINT (16.377176339259922 48.20874999851599),Auslaufbrunnen,538865,
TRINKBRUNNENOGD.538866,POINT (16.28769616166106 48.18569660938211),Auslaufbrunnen,538866,
TRINKBRUNNENOGD.538867,POINT (16.398584053604583 48.21394052478201),Auslaufbrunnen,538867,
TRINKBRUNNENOGD.538868,POINT (16.288809173763614 48.215655930152025),Auslaufbrunnen,538868,
TRINKBRUNNENOGD.538869,POINT (16.377310685149897 48.208897232527384),Auslaufbrunnen,538869,
TRINKBRUNNENOGD.538870,POINT (16.50442082438961 48.23842468661449),Auslaufbrunnen,538870,
TRINKBRUNNENOGD.538871,POINT (16.413906929887293 48.22893151795838),Auslaufbrunnen,538871,
TRINKBRUNNENOGD.538872,POINT (16.335065648146607 48.213844138670694),Auslaufbrunnen,538872,
TRINKBRUNNENOGD.538873,POINT (16.397060278423385 48.20887643734242),Auslaufbrunnen,538873,
TRINKBRUNNENOGD.538874,POINT (16.45691621151401 48.21584873548162),Auslaufbrunnen,538874,
TRINKBRUNNENOGD.538875,POINT (16.458382926473895 48.21301163800651),Auslaufbrunnen,538875,
TRINKBRUNNENOGD.538876,POINT (16.463307949412894 48.21208512154557),Auslaufbrunnen,538876,
TRINKBRUNNENOGD.538877,POINT (16.344759097947748 48.28714641768246),Auslaufbrunnen,538877,
TRINKBRUNNENOGD.538878,POINT (16.38864855753832 48.28521634440876),Auslaufbrunnen,538878,
TRINKBRUNNENOGD.538879,POINT (16.48966030501449 48.22648799514954),Auslaufbrunnen,538879,
TRINKBRUNNENOGD.538880,POINT (16.383411465463773 48.14946215018275),Auslaufbrunnen,538880,
TRINKBRUNNENOGD.538881,POINT (16.40063822616606 48.16614047950879),Auslaufbrunnen,538881,
TRINKBRUNNENOGD.538882,POINT (16.25710268949822 48.18760855355202),Auslaufbrunnen,538882,
TRINKBRUNNENOGD.538883,POINT (16.399163339787496 48.19439377330025),Auslaufbrunnen,538883,
TRINKBRUNNENOGD.538884,POINT (16.411315410825154 48.197175484133254),Auslaufbrunnen,538884,
TRINKBRUNNENOGD.538885,POINT (16.413393157723142 48.191419306366434),Auslaufbrunnen,538885,
TRINKBRUNNENOGD.538886,POINT (16.255531551523532 48.20720826598645),Auslaufbrunnen,538886,
TRINKBRUNNENOGD.538887,POINT (16.331601187384646 48.212407991521665),Auslaufbrunnen,538887,
TRINKBRUNNENOGD.538888,POINT (16.28512147683651 48.21437286632664),Auslaufbrunnen,538888,
TRINKBRUNNENOGD.538889,POINT (16.3209838644978 48.22437482944122),Auslaufbrunnen,538889,
TRINKBRUNNENOGD.538890,POINT (16.282038193304786 48.21678297665138),Auslaufbrunnen,538890,
TRINKBRUNNENOGD.538891,POINT (16.295097215163995 48.24643354779716),Auslaufbrunnen,538891,
TRINKBRUNNENOGD.538892,POINT (16.497438272987807 48.25109707319894),Auslaufbrunnen,538892,
TRINKBRUNNENOGD.538893,POINT (16.48659291035277 48.25132177259636),Auslaufbrunnen,538893,
TRINKBRUNNENOGD.538894,POINT (16.32153816419271 48.25552808286953),Auslaufbrunnen,538894,
TRINKBRUNNENOGD.538895,POINT (16.458943758778013 48.216386086193204),Auslaufbrunnen,538895,
TRINKBRUNNENOGD.538896,POINT (16.457811874493796 48.218291772935196),Auslaufbrunnen,538896,
TRINKBRUNNENOGD.538897,POINT (16.42645387969103 48.221396995979056),Auslaufbrunnen,538897,
TRINKBRUNNENOGD.538898,POINT (16.44572432462461 48.21795185634721),Auslaufbrunnen,538898,
TRINKBRUNNENOGD.538899,POINT (16.425837068461274 48.224529885061486),Auslaufbrunnen,538899,
TRINKBRUNNENOGD.538900,POINT (16.36668854962307 48.22717337048005),Auslaufbrunnen,538900,
TRINKBRUNNENOGD.538901,POINT (16.416552490014755 48.217779176226486),Auslaufbrunnen,538901,
TRINKBRUNNENOGD.538902,POINT (16.39983450019164 48.27819357778195),Auslaufbrunnen,538902,
TRINKBRUNNENOGD.538903,POINT (16.414138109061362 48.225031621849496),Auslaufbrunnen,538903,
TRINKBRUNNENOGD.538904,POINT (16.382146894652124 48.182018037263006),Auslaufbrunnen,538904,
TRINKBRUNNENOGD.538905,POINT (16.386083308082355 48.242718384646196),Auslaufbrunnen,538905,
